pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,51.78714939998463,51.78714939998463,51.78714939998463,3.4953703703703702,139.1831398999784,space,142.09462409990374,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,,,,,,,,,,,,,,,,,,193.93118290009443,193.93118290009443,space,4.126186699955724,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
pink.png,6,,,0,0,0,2,,,,,205.21449020004366,205.21449020004366,205.21449020004366,5.289351851851852,4.133625000016764,space,22.69916950003244,,,,,198.08104620000813,198.08103878004476,199.19772569998167,199.19772569998167,205.21449020004366,227.93152380001266,252.91522249998525,252.9152530800784,252.93193080008496,257.91527500003576,,,,,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
pink.png,4,,,0,1,1,0,,,,,262.98208360001445,262.98208360001445,262.98208360001445,2.986111111111111,5.23360869998578,space,21.92305789992679,,,,,257.91527500003576,257.9153312800918,258.96531480003614,258.96531480003614,262.98208360001445,284.9324305000482,309.91612160007935,309.9161213800544,309.93281560007017,314.91624320007395,,,,,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
pink.png,2,,,0,2,2,1,,,,,317.96627620002255,317.96627620002255,317.96627620002255,1.6087962962962967,6.500239999964833,space,16.843717299983837,,,,,314.91624320007395,314.9162341800984,315.94958660006523,315.94958660006523,317.96627620002255,334.8498987000203,359.83360580005683,359.8335997799877,359.8502679000376,364.83367820002604,,,,,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.83367820002604,364.83367820002604,space,3.480248999898322,,,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,0,0,4,370.3836161000654,370.3836161000654,370.3836161000654,0.47453703703703665,8.500475300010294,space,19.690895000007004,,,,,368.33374290005304,368.33373707998544,369.367321100086,,,390.1007452000631,415.0844323000638,415.0844704800984,415.1011406000471,420.08452110004146,,,,,369.367321100086,370.3836161000654,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,1,1,7,428.1178159000119,428.1178159000119,428.1178159000119,6.388888888888889,4.933804200030863,space,7.539736100006849,,,,,420.08452110004146,420.08456468000077,421.10123850009404,,,435.7014542000834,460.68516560003627,460.6851803800091,460.7018538999837,465.68522930005565,,,,,421.10123850009404,428.1178159000119,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,2,2,5,469.71820450003725,469.71820450003725,469.71820450003725,2.4189814814814814,5.033565900055692,space,16.676105300080962,,,,,465.68522930005565,465.6852572800126,466.7019469999941,,,486.4189146000426,511.4026390000945,511.40260408003815,511.4193049999885,516.4027157999808,,,,,466.7019469999941,469.71820450003725,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,3,3,6,522.4356929000933,522.4356929000933,522.4356929000933,4.456018518518518,3.9669874000828713,space,14.40562949993182,,,,,516.4027157999808,516.4026878800942,517.4193993000081,,,536.8863479000283,561.8700903999852,561.8701046800707,561.88675960002,566.8701855000108,,,,,517.4193993000081,522.4356929000933,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,4,4,11,574.903174300096,574.903174300096,574.903174300096,6.076388888888888,3.833669399959035,space,6.179138700012118,,,,,566.8701855000108,566.8701701799873,567.8868572000647,,,581.1032513000537,606.087463999982,606.0874547800049,606.1041295999894,611.0874807999935,,,,,567.8868572000647,574.903174300096,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,5,5,8,613.120732099982,613.120732099982,613.120732099982,0.5208333333333331,4.100317500066012,space,7.68873509997502,,,,,611.0874807999935,611.0874956800835,612.104211900034,,,620.8374850000255,645.821398,645.8213573800167,645.8380711000646,650.821483100066,,,,,612.104211900034,613.120732099982,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,6,6,2,656.8544550000224,656.8544550000224,656.8544550000224,4.560185185185185,3.9835248000454158,space,4.91540990001522,,,,,650.821483100066,650.8214653800242,651.8381040000822,,,661.7878732000245,686.7716886000708,686.7716935800854,686.7883585999953,691.7721153000602,,,,,651.8381040000822,656.8544550000224,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,7,7,9,695.805060200044,695.805060200044,695.805060200044,2.476851851851852,4.217002000077628,space,11.677498300094157,,,,,691.7721153000602,691.7720223800279,692.7888034000061,,,707.5052333000349,732.4889624000061,732.4889708800474,732.5056364000775,737.4890530999983,,,,,692.7888034000061,695.805060200044,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,8,8,13,741.5224568999838,741.5224568999838,741.5224568999838,2.7777777777777777,2.617008200031705,space,4.344248399953358,,,,,737.4890530999983,737.489046880044,738.5058728000149,,,745.8891480000457,770.8729141000658,770.8729197800858,770.8895828000968,775.8729944000952,,,,,738.5058728000149,741.5224568999838,,,003,001,2023-05-31_13h31.17.339,time_exp,2022.2.5,60.01151019749265,
