pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,27.971426000003703,27.971426000003703,27.971426000003703,4.1782407407407405,56.20533909997903,space,124.6369110000087,,,,,,,,,,,,,,,,,,,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,,,,,,,,,,,,,,,,,,152.63791960000526,152.63791960000526,space,3.635086999973282,,,,,,,,,,,,,,,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
pink.png,4,,,0,0,0,0,,,,,161.43809720000718,161.43809720000718,161.43809720000718,3.0092592592592595,3.200306399958208,space,19.043102599913254,,,,,156.3045964000048,156.30467414002632,157.42136110004503,157.42136110004503,161.43809720000718,180.52172920003068,205.50542620010674,205.5054665400763,205.52213830000255,210.5055080000311,,,,,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
pink.png,6,,,0,1,1,2,,,,,217.555620500003,217.555620500003,217.555620500003,4.675925925925926,5.300289800041355,space,28.092992199934088,,,,,210.5055080000311,210.50554864000296,211.5388876000652,211.5388876000652,217.555620500003,245.67277430009563,270.65650550008286,270.6564993400476,270.6731674000621,275.65659090003464,,,,,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
pink.png,2,,,0,2,2,1,,,,,278.7066331000533,278.7066331000533,278.7066331000533,0.8101851851851855,3.4669597999891266,space,13.101944499998353,,,,,275.65659090003464,275.65658104008764,276.68993860005867,276.68993860005867,278.7066331000533,291.85684870008845,316.84057840006426,316.8405759400572,316.85724530008156,321.840659800102,,,,,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.840659800102,321.840659800102,space,4.272374499938451,,,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,0,0,19,334.20707300002687,334.20707300002687,334.20707300002687,4.189814814814815,14.850419700029306,space,26.80173539998941,,,,,326.1407329000067,326.1407246400719,327.19106000009924,,,361.04085510002915,386.0250007000286,386.0250346400659,386.0417003000621,391.0250307000242,,,,,327.19106000009924,334.20707300002687,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,1,1,8,393.05833780008834,393.05833780008834,393.05833780008834,0.02314814814814825,4.900256299995817,space,17.51822660001926,,,,,391.0250307000242,391.0250433400157,392.04180640005507,,,410.60862180008553,435.59251060010865,435.5925094401115,435.60918400005903,440.59260220010765,,,,,392.04180640005507,393.05833780008834,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,2,2,6,446.62557450006716,446.62557450006716,446.62557450006716,2.893518518518519,2.5669855000451207,space,35.29583319998346,,,,,440.59260220010765,440.59255584011555,441.6092875000322,,,481.9599484000355,506.9437001000624,506.94368704009105,506.9603595000226,511.94378380000126,,,,,441.6092875000322,446.62557450006716,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,3,3,5,515.9767198000336,515.9767198000336,515.9767198000336,1.8634259259259258,5.3002216999884695,space,19.624487399938516,,,,,511.94378380000126,511.9437710400322,512.9604551000521,,,535.6275033000857,560.6112464000471,560.6112341400818,560.6279178000987,565.6113281000871,,,,,512.9604551000521,515.9767198000336,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,4,4,7,573.6446521000471,573.6446521000471,573.6446521000471,5.023148148148148,5.100225399946794,space,15.684225400094874,,,,,565.6113281000871,565.6113375400543,566.6280096000992,,,589.3617261000909,614.3454361000331,614.3457306400757,614.3621002000291,619.3455134000396,,,,,566.6280096000992,573.6446521000471,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,5,5,11,627.3785586000886,627.3785586000886,627.3785586000886,3.993055555555556,24.651129400008358,space,26.333868599962443,,,,,619.3455134000396,619.3455503400997,620.3622402000474,,,653.7461358000292,678.7298498000018,678.7298614401021,678.7465127001051,683.7299341000617,,,,,620.3622402000474,627.3785586000886,,,yo,001,2023-05-31_10h34.34.364,time_exp,2022.2.5,59.987606577846876,
