pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,7,7,10,809.8107073999709,809.8107073999709,809.8107073999709,4.097222222222222,3.300567500060424,space,57.591576599981636,,,,,803.7776099999901,803.7776114299661,,,867.4285202000756,892.4123302999651,892.4123328300659,892.4289654999739,897.4124112999998,804.7942880999763,,,,,804.7942880999763,809.8107073999709,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,8,8,18,903.4455140000209,903.4455140000209,903.4455140000209,5.9490740740740735,11.666981399990618,space,40.340491999988444,,,,,897.4124112999998,897.4123785300646,,,943.829783400055,968.8135365999769,968.813534430042,968.8302087000338,973.8136018000077,898.4290513000451,,,,,898.4290513000451,903.4455140000209,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,9,9,15,981.846633200068,981.846633200068,981.846633200068,6.62037037037037,31.48410280002281,space,33.876380300032906,,,,,973.8136018000077,973.8136063300074,,,1015.7472179000033,1040.7313346000155,1040.731350329984,1040.7480033000465,1045.7314145000419,974.8302981000161,,,,,974.8302981000161,981.846633200068,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,10,10,13,1049.7643611000385,1049.7643611000385,1049.7643611000385,4.2592592592592595,3.0835529000032693,space,19.91002309997566,,,,,1045.7314145000419,1045.7314145300072,,,1069.6980027999962,1094.6821808000095,1094.6821884300327,1094.6987941999687,1099.6822610000381,1046.748112600064,,,,,1046.748112600064,1049.7643611000385,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,11,11,16,1101.731830600067,1101.731830600067,1101.731830600067,0.46296296296296335,5.450265799998306,space,29.94223459996283,,,,,1099.6822610000381,1099.6822681300575,,,1131.6989815999987,1156.683168000076,1156.6831678300398,1156.6998037999729,1161.6832485999912,1100.7156200000318,,,,,1100.7156200000318,1101.731830600067,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,12,12,8,1163.7164547999855,1163.7164547999855,1163.7164547999855,2.1296296296296298,7.800304499920458,space,8.6297351999674,,,,,1161.6832485999912,1161.6832277300302,,,1172.3665916000027,1197.3504740999779,1197.3504705300322,1197.3671413999982,1202.3505481000757,1162.6998972999863,,,,,1162.6998972999863,1163.7164547999855,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,13,13,9,1206.4001647999976,1206.4001647999976,1206.4001647999976,4.189814814814815,29.06728529999964,space,30.122280199895613,,,,,1202.3505481000757,1202.3505543299718,,,1236.5507684000768,1261.5348241999745,1261.5348276299658,1261.5514967000345,1266.5348922000267,1203.3839115999872,,,,,1203.3839115999872,1206.4001647999976,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,14,14,17,1270.5678064000094,1270.5678064000094,1270.5678064000094,3.3564814814814814,15.600490199984051,space,16.70786790002603,,,,,1266.5348922000267,1266.534890929982,,,1287.3014290999854,1312.2856207999866,1312.2856219300768,1312.3022882000078,1317.2856808999786,1267.551589300041,,,,,1267.551589300041,1270.5678064000094,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,15,15,3,1325.3353618000401,1325.3353618000401,1325.3353618000401,7.708333333333332,10.083707100013271,space,23.139912400045432,,,,,1317.2856808999786,1317.2856541299727,,,1348.5028453000123,1373.486566800042,1373.4865377300187,1373.50323510007,1378.4866450000554,1318.31903959997,,,,,1318.31903959997,1325.3353618000401,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,16,16,14,1384.5362973000156,1384.5362973000156,1384.5362973000156,3.576388888888889,14.750818100059405,space,15.77945280005224,,,,,1378.4866450000554,1378.486642430001,,,1400.3369898999808,1425.320720699965,1425.3207105299691,1425.3373432999942,1430.320791300037,1379.5199685000116,,,,,1379.5199685000116,1384.5362973000156,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,17,17,19,1438.3704629000276,1438.3704629000276,1438.3704629000276,8.26388888888889,5.716909199953079,space,22.024729800061323,,,,,1430.320791300037,1430.320791430003,,,1460.4212639000034,1485.4049818000058,1485.4049843299902,1485.4216513000429,1490.405038399971,1431.3541471000062,,,,,1431.3541471000062,1438.3704629000276,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,18,18,11,1498.438198100077,1498.438198100077,1498.438198100077,5.023148148148148,14.934048100025393,space,16.500341200036928,,,,,1490.405038399971,1490.4050782300067,,,1514.955451100017,1539.9391209000023,1539.9391854299931,1539.9558454999933,1544.9392393999733,1491.42174790008,,,,,1491.42174790008,1498.438198100077,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,19,19,0,1546.972161200014,1546.972161200014,1546.972161200014,1.0532407407407405,3.333525500027463,space,20.830808900063857,,,,,1544.9392393999733,1544.9392504300224,,,1567.8395499000326,1592.8233358999714,1592.8233062300599,1592.8399734999985,1597.823413199978,1545.9559362999862,,,,,1545.9559362999862,1546.972161200014,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.823413199978,1597.823413199978,,,,,,,
