pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,30.258780500000285,30.258780500000285,space,243.34650499999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
pink.png,4,,,0,0,0,0,,,,,,,,,273.6417786000002,273.64894462000086,274.76449630000025,278.87641650000114,278.87641650000114,278.87641650000114,278.87641650000114,5.0115740740740735,16.23403099999996,space,44.66004949999842,323.59127100000114,348.5648076000016,348.5647157600004,348.59801400000106,353.5701917000006,,,,,,,,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
pink.png,6,,,0,1,1,2,,,,,,,,,353.5701917000006,353.5702355600013,354.6323029000014,360.6792865999996,360.6792865999996,360.6792865999996,360.6792865999996,6.030092592592593,5.45296579999922,space,17.018629299998793,377.7580189,402.7410381000009,402.740903560002,402.7576525000004,407.74685490000047,354.6323029000014,,,,,,,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
pink.png,2,,,0,2,2,1,,,,,,,,,407.74685490000047,407.7466952599996,408.8026869000023,410.8539887000006,410.8539887000006,410.8539887000006,410.8539887000006,2.2800925925925926,4.079089599999861,space,14.886274700000286,425.80487500000163,450.7771630000025,450.7770984600018,450.81027390000236,,408.8026869000023,,,,,,,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.7827090999999,455.7827090999999,space,4.36210079999546,,,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,0,0,4,,,,,460.18229820000124,460.1872922199997,,,462.2577018000011,462.2577018000011,462.2577018000011,1.782407407407407,4.807337300000654,space,27.866192899999078,490.1643748000024,515.1478852,515.1480155599991,515.1647408999997,,,,,,,461.2139081999994,462.2577018000011,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,1,1,0,,,,,520.1534296999998,520.1533431600026,,,522.2327093999993,522.2327093999993,522.2327093999993,1.435185185185185,4.932800899998256,space,21.54165549999925,543.7835527999996,568.790245799999,568.7902546600005,568.790245799999,,,,,,,521.1765798000015,522.2327093999993,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,2,2,9,,,,,573.7955889000004,573.7957307599997,,,577.8507570000002,577.8507570000002,577.8507570000002,3.9699074074074074,7.156547900001897,space,25.781805100001293,603.6633542000018,628.6560682999989,628.65588026,628.6726940000008,,,,,,,574.8119342999998,577.8507570000002,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,3,3,3,,,,,633.6615071000015,633.6613846600001,,,641.7140556000013,641.7140556000013,641.7140556000013,6.145833333333333,7.869901199999731,space,20.974220699999933,662.7142815000007,687.7045127999991,687.7041828600002,687.7211016000001,692.7098278000012,,,,,,634.6795961999997,641.7140556000013,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,4,4,5,,,,,692.7098278000012,692.7097515600024,,,696.766173,696.766173,696.766173,3.1249999999999996,4.431828900000255,space,20.871848099997806,717.6703507999991,742.6647327999999,742.66461056,742.6815317,,693.7280415000023,,,,,693.7280415000023,696.766173,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,5,5,14,,,,,747.6702556000018,747.6699799600017,,,753.7512405000016,753.7512405000016,753.7512405000016,4.895833333333333,4.78711050000129,space,19.291667999999845,773.0782452000021,798.0591357000012,798.059008859999,798.0922419000017,803.0644859999993,,,,,,748.7070301000022,753.7512405000016,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,6,6,13,,,,,803.0644859999993,803.0645090599999,,,807.1253561000012,807.1253561000012,807.1253561000012,2.2337962962962963,4.827733000001899,space,21.607815299999857,828.777898100001,853.7707713000018,853.7701626600017,853.7875655999997,,804.0789947000012,,,,,804.0789947000012,807.1253561000012,,,,,,001,001,2023-05-30_15h09.28.845,time_exp,2022.2.5,60.13981303711603,
