pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.615092699998058,10.615092699998058,10.615092699998058,None,None,space,22.470948999980465,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,,,,,,,,,,,,,,,,,,33.10749540000688,33.10749540000688,space,7.6112202000804245,,,,,,,,,,,,,,,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
pink.png,6,,,0,0,0,2,,,,,47.87437870004214,47.87437870004214,47.87437870004214,9.016203703703704,2.9338306999998167,space,5.5316601999802515,,,,,40.740937200025655,40.740892910014374,41.85761659999844,41.85761659999844,47.87437870004214,53.42443719995208,78.40819220000412,78.40820071004563,78.42487430002075,83.40826809999999,,,,,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
pink.png,4,,,0,1,1,0,,,,,88.47503460000735,88.47503460000735,88.47503460000735,4.965277777777778,4.266878900001757,space,5.027097600046545,,,,,83.40826809999999,83.40822470999555,84.45831020001788,84.45831020001788,88.47503460000735,93.52511919999961,118.50885600002948,118.50882861003046,118.52552360005211,123.50893500004895,,,,,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
pink.png,2,,,0,2,2,1,,,,,126.55899249995127,126.55899249995127,126.55899249995127,2.118055555555556,2.500264299917035,space,3.83842949999962,,,,,123.50893500004895,123.50890111000044,124.5422588000074,124.5422588000074,126.55899249995127,130.44236990006175,155.42612219997682,155.4261256099795,155.44276090001222,160.42621059995145,,,,,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.42621059995145,160.42621059995145,space,1.6196418999461457,,,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,0,0,17,166.14263600006234,166.14263600006234,166.14263600006234,2.9745370370370368,2.3335393000161275,space,7.95115189999342,,,,,162.07624049996957,162.07623281000414,163.12657289998606,,,174.12643529998604,199.11017929995432,199.11017561001935,199.12681399995927,204.11021189996973,,,,,163.12657289998606,166.14263600006234,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,1,1,11,212.14326190005522,212.14326190005522,212.14326190005522,6.8865740740740735,3.1669785000849515,space,12.942307699937373,,,,,204.11021189996973,204.1102130099549,205.1269372999668,,,225.12726900004782,250.11099830002058,250.1110042100423,250.12762929999735,255.11108409997541,,,,,205.1269372999668,212.14326190005522,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,2,2,15,263.14409179997165,263.14409179997165,263.14409179997165,5.972222222222222,2.7002760000759736,space,3.766430599964224,,,,,255.11108409997541,255.11107681001303,256.1277517999988,,,266.9274875000119,291.9116786000086,291.9116766099702,291.92833090003114,296.9116902999813,,,,,256.1277517999988,263.14409179997165,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,3,3,0,298.94466969999485,298.94466969999485,298.94466969999485,0.9722222222222223,2.9168548999587074,space,8.621393600013107,,,,,296.9116902999813,296.9117519099615,297.9284353000112,,,307.5948026999831,332.5789840000216,332.5788935100078,332.59565619996283,337.5790672999574,,,,,297.9284353000112,298.94466969999485,,,009,001,2023-06-01_17h43.14.498,time_exp,2022.2.5,60.0228567381365,
