pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,image.started,image.stopped,textrest.started,textrest.stopped,textready.started,sound_2.started,textblank1000.started,sound_1.started,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,4,4,15,573.8277270000035,573.8277270000035,573.8277270000035,5.958059210526315,4.640227800002322,space,19.966397899996082,,,,,,,593.817372999998,618.8279755999974,618.8143456000034,618.8114537099966,564.6068790999998,564.6069955100022,623.8151728000012,566.7905173000036,,,,,566.7905173000036,573.8277270000035,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,5,5,3,633.0125681999998,633.0125681999998,633.0125681999998,5.217927631578948,4.5048606999989715,space,14.509533399999782,,,,,,,647.5434759999989,672.5490864000021,672.5490864000021,672.5493417099999,623.8151728000012,623.8154162100029,677.5527027999997,625.9795250000025,,,,,625.9795250000025,633.0125681999998,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,6,6,13,682.7632066000006,682.7632066000006,682.7632066000006,1.9969846491228063,3.2351013000006787,space,22.361399399997026,,,,,,,705.1441520000008,730.1560995000036,730.1394392000002,730.1393955099986,677.5527027999997,677.5526770100034,735.1427753000025,679.7321415999977,,,,,679.7321415999977,682.7632066000006,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,7,7,8,738.3352498000022,738.3352498000022,738.3352498000022,0.194627192982455,4.33421300000191,space,13.429281799995806,,,,,,,751.7919188000014,776.8051771000028,776.788776100002,776.7886828100011,735.1427753000025,735.1466035100013,781.7923676999999,737.3053157000031,,,,,737.3053157000031,738.3352498000022,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,8,8,10,788.9854911000002,788.9854911000002,788.9854911000002,3.011239035087719,5.486797600002319,space,17.25707429999602,,,,,,,806.2734826000014,831.277221700002,831.277221700002,831.2768788099995,781.7923676999999,781.7921241099968,836.2803662000006,783.9627825999996,,,,,783.9627825999996,788.9854911000002,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,9,9,11,845.4809030000033,845.4809030000033,845.4809030000033,5.0123355263157885,4.091332200005127,space,21.113419299996167,,,,,,,866.6186155000032,891.6192231000023,891.6192231000023,891.6194991099976,836.2803662000006,836.2805185099999,896.6229241999972,838.4415838999994,,,,,838.4415838999994,845.4809030000033,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,10,10,14,903.8287224000014,903.8287224000014,903.8287224000014,4.011787280701753,3.261068499996327,space,19.193682799996168,,,,,,,923.0482351000028,948.0588591999986,948.0588591999986,948.0584080100009,896.6229241999972,896.6228076100008,,898.802525500003,,,,,898.802525500003,903.8287224000014,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,11,11,16,956.2944121999972,956.2944121999972,956.2944121999972,0.26315789473684126,6.427808899999945,space,44.85688150000351,,,,,,,1001.1609243999992,1026.1632817999998,1026.1632817999998,1026.163133109999,953.0625184000019,953.0621727099999,1031.1669337999992,,,,,,955.2452000999983,956.2944121999972,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,12,12,12,1033.2686872999984,1033.2686872999984,1033.2686872999984,0.14665570175438514,5.613581100005831,space,13.008324999995239,,,,,,,1046.3030322999984,1071.3124719999978,1071.3124719999978,1071.3123171100008,1031.1669337999992,1031.167077010002,,1032.2266095000014,,,,,1032.2266095000014,1033.2686872999984,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,13,13,2,1083.4970959999991,1083.4970959999991,1083.4970959999991,3.257949561403508,4.105895099994086,space,14.207433099996706,,,,,,,1097.7259841999985,1122.7311456000025,1122.7311456000025,1122.7311263099975,1076.3151257999998,1076.315060510001,1127.7345045000038,,,,,,1078.4669665999972,1083.4970959999991,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,14,14,19,1136.913717800002,1136.913717800002,1136.913717800002,6.389802631578948,5.906550500003505,space,36.319205599997076,,,,,,,1173.2631002999988,1198.2673407999973,1198.2673407999973,1198.2674451100022,1127.7345045000038,1127.7360571099991,1203.2706592000031,1129.889933999999,,,,,1129.889933999999,1136.913717800002,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,15,15,9,1208.4662892999986,1208.4662892999986,1208.4662892999986,3.3264802631578942,22.387119899998652,space,23.894346699999005,,,,,,,1232.3812879000034,1257.3922468000019,1257.3922468000019,1257.3925783099978,1203.2706592000031,1203.270787710003,,1205.4369326000015,,,,,1205.4369326000015,1208.4662892999986,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,16,16,18,1269.600626200001,1269.600626200001,1269.600626200001,4.0391995614035086,3.8068555999998352,space,37.97610590000113,,,,,,,1307.5924644999977,1332.5948702000023,1332.5948702000023,1332.5953370100026,1262.3956010000038,1262.3957563099968,1337.598193400001,,,,,,1264.5709631999998,1269.600626200001,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,17,17,1,1342.7767593000026,1342.7767593000026,1342.7767593000026,1.9627192982456132,3.3303713999994216,space,20.227981099997123,,,,,,,1363.0301980000004,1388.0336914,1388.0336914,1388.033481910002,1337.598193400001,1337.598286810003,1393.0370477000033,1339.7508945000009,,,,,1339.7508945000009,1342.7767593000026,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,18,18,0,1396.215098499997,1396.215098499997,1396.215098499997,0.6263706140350872,5.419581199996173,space,17.266876699999557,,,,,,,1413.5014641000016,1438.5027802999975,1438.5027802999975,1438.5026243099994,1393.0370477000033,1393.038059910002,1443.505887899999,1395.188109499999,,,,,1395.188109499999,1396.215098499997,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,19,19,17,1448.6821609000035,1448.6821609000035,1448.6821609000035,2.0038377192982453,3.18269319999672,space,37.96550749999733,,,,,,,1486.662326800004,1511.6705294999992,1511.6705294999992,1511.6705224099999,1443.505887899999,1443.5058277100027,1516.6740548000016,1445.6561110999974,,,,,1445.6561110999974,1448.6821609000035,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.6740548000016,1516.6740548000016,,,,,,,
