pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,28.313514900000882,28.313514900000882,28.313514900000882,6.355537280701754,15.665832599999703,space,18.07679840000128,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,,,,,,,,,,,,,,,,,,46.414260900000954,46.414260900000954,space,12.30328940000254,,,,,,,,,,,,,,,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
pink.png,4,,,0,0,0,0,,,,,63.94178269999975,63.94178269999975,63.94178269999975,4.628563596491228,3.538242499998887,space,11.963469500002248,,,,,58.798127699999895,58.794901239997124,59.90362710000045,63.94178269999975,75.9588560000011,100.9571031000014,100.95700845999781,100.97370909999881,107.15092880000157,,,,,,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
pink.png,2,,,0,1,1,1,,,,,109.19175600000017,109.19175600000017,109.19175600000017,1.4830043859649111,8.23253029999978,space,24.440289199999825,,,,,,,107.15092880000157,109.19175600000017,133.66999589999978,158.6646836,158.66462576000012,158.68058089999977,163.66752669999914,,,,,,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
pink.png,6,,,0,2,2,2,,,,,170.7381650999996,170.7381650999996,170.7381650999996,6.4035087719298245,4.897783300002629,space,6.994712600000639,,,,,163.66752669999914,163.6676462600004,164.70469949999824,170.7381650999996,177.74213299999974,202.74582119999832,202.74568745999895,202.74582119999832,207.75047020000056,164.70469949999824,,,,,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.75047020000056,207.75047020000056,space,57.95920059999844,,,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,0,0,13,269.94857559999946,269.94857559999946,269.94857559999946,3.374451754385964,7.136874600000738,space,32.31158000000141,,,,,,,,,302.2735345000001,327.2824795000015,327.2827389599985,327.2824795000015,,,,,,,266.9231432999986,269.94857559999946,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,1,1,1,337.4832142000014,337.4832142000014,337.4832142000014,3.984375,3.4096079000009922,space,33.15681989999939,,,,,332.2857409999997,332.2857725600003,,,370.6670042000005,395.66416630000094,395.66409176000127,395.6805239999994,400.6671305999989,,,,,,334.45965570000044,337.4832142000014,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,2,2,0,403.87505370000144,403.87505370000144,403.87505370000144,0.42763157894736725,3.499391500001366,space,49.667686500000855,,,,,400.6671305999989,400.6673346599997,,,453.56251749999865,478.57172450000144,478.57198695999944,478.57172450000144,,402.8501483,,,,,402.8501483,403.87505370000144,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,3,3,7,492.7888013999982,492.7888013999982,492.7888013999982,7.390350877192983,9.267074399998819,space,34.445075600000564,,,,,483.5753693000006,483.57555965999893,,,527.2590893999986,552.2572461999989,552.2572476599995,552.2739632000012,557.2604509999983,,,,,,485.75963409999895,492.7888013999982,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,4,4,3,566.4849317000007,566.4849317000007,566.4849317000007,6.965460526315789,3.187765300001047,space,8.004539900000964,,,,,557.2604509999983,557.260437059998,,,574.5081614999981,599.5065004999997,599.5072703600014,599.5065004999997,604.5097567000012,559.4392545999981,,,,,559.4392545999981,566.4849317000007,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,5,5,10,611.723350100001,611.723350100001,611.723350100001,4.505208333333333,4.102558900001895,space,140.63300660000095,,,,,604.5097567000012,604.5098372600002,,,752.3702230999988,777.3815417000005,777.3813559599981,777.3815417000005,,606.6992737,,,,,606.6992737,611.723350100001,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,6,6,2,789.586491099999,789.586491099999,789.586491099999,5.019188596491228,3.051503700000467,space,30.691212699999596,,,,,782.3849723999992,782.3847682599986,,,820.2989124000014,845.2955488000007,845.2954545600002,845.3121605000015,850.2993803999998,,,,,,784.5550547999992,789.586491099999,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,7,7,9,855.5247009000013,855.5247009000013,855.5247009000013,5.519462719298246,14.868824400000449,space,20.704867100001138,,,,,850.2993803999998,850.2992910600002,,,876.254130199999,901.2512177999997,901.2511470599999,901.2677876000016,906.2551209000012,852.4789822999992,,,,,852.4789822999992,855.5247009000013,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,8,8,15,915.4715130000004,915.4715130000004,915.4715130000004,6.492598684210526,5.843389400000888,space,17.721361799998704,,,,,906.2551209000012,906.2549787599997,,,933.2042919999985,958.2079747999996,958.2080463599992,958.2079747999996,963.2112727999993,908.4413808999998,,,,,908.4413808999998,915.4715130000004,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,9,9,14,970.4496878999998,970.4496878999998,970.4496878999998,7.027138157894736,6.719949399997859,space,29.58776670000225,,,,,963.2112727999993,963.2113771600012,,,1000.0686638000006,1025.0717048000006,1025.0715536599996,1025.0717048000006,1030.0748271000011,965.4103174000011,,,,,965.4103174000011,970.4496878999998,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,10,10,6,1037.2739427000015,1037.2739427000015,1037.2739427000015,5.64281798245614,14.939976400000887,space,32.6532272000004,,,,,1030.0748271000011,1030.0749799600012,,,1069.9580279000002,1094.9537268999993,1094.953507059999,1094.9702073000008,1099.9573904999997,1032.2495014999986,,,,,1032.2495014999986,1037.2739427000015,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,11,11,19,1109.1726242000004,1109.1726242000004,1109.1726242000004,9.007675438596491,3.0828002999987802,space,57.98788070000228,,,,,1099.9573904999997,1099.9575325600013,,,1167.180990500001,1192.1882139000008,1192.188128459998,1192.1882139000008,1197.191851200001,1102.136017500001,,,,,1102.136017500001,1109.1726242000004,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,12,12,11,1206.4072229000012,1206.4072229000012,1206.4072229000012,6.03344298245614,4.660882399999537,space,18.809185800000705,,,,,1197.191851200001,1197.1919130599995,,,1225.2315591000006,1250.2292821999981,1250.2289947599998,1250.2458692,1255.2326122999984,1199.3739061000015,,,,,1199.3739061000015,1206.4072229000012,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,13,13,12,1258.445919599999,1258.445919599999,1258.445919599999,0.2837171052631568,4.844346699999733,space,62.44616940000196,,,,,1255.2326122999984,1255.2325736599992,,,1320.8991327000003,1345.8961219999983,1345.8960565599987,1345.912777999998,1350.8995724999986,1257.4122016000001,,,,,1257.4122016000001,1258.445919599999,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,14,14,8,1354.1119475999985,1354.1119475999985,1354.1119475999985,0.9210526315789469,7.5578014999991865,space,8.790142000001651,,,,,1350.8995724999986,1350.89981536,,,1362.9355127999988,1387.942218100001,1387.9422887600008,1387.942218100001,1392.9455077999992,1353.0801317000005,,,,,1353.0801317000005,1354.1119475999985,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,15,15,18,1400.1768575999995,1400.1768575999995,1400.1768575999995,5.046600877192983,3.234466699999757,space,6.31597469999906,,,,,1392.9455077999992,1392.9459156599983,,,1406.5128442999994,1431.5228075999985,1431.5226463600006,1431.5228075999985,,1395.1227115000002,,,,,1395.1227115000002,1400.1768575999995,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,16,16,17,1441.7366712000003,1441.7366712000003,1441.7366712000003,2.976973684210526,4.090974099999585,space,38.944224300001224,,,,,1436.5266526999985,1436.5264377599992,,,1480.7020524,1505.7076329999982,1505.7079066600013,1505.7076329999982,1510.7113604000006,,,,,,1438.7067352999984,1441.7366712000003,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,17,17,16,1513.9293069999985,1513.9293069999985,1513.9293069999985,0.8730811403508763,8.11507089999941,space,30.395004200003314,,,,,1510.7113604000006,1510.71138226,,,1544.3572562000008,1569.3530668999992,1569.35294466,1569.3696511999988,1574.3561389999995,1512.9116302000002,,,,,1512.9116302000002,1513.9293069999985,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,18,18,5,1578.421325899999,1578.421325899999,1578.421325899999,4.203673245614034,5.749745499997516,space,40.84036550000019,,,,,1574.3561389999995,1574.3560904600013,,,1619.2811026999989,1644.2885529000014,1644.2886881599984,1644.2885529000014,,1575.3935977,,,,,1575.3935977,1578.421325899999,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,19,19,4,1652.5021789999992,1652.5021789999992,1652.5021789999992,0.9416118421052616,4.738342099997681,space,37.31489969999893,,,,,1649.292308600001,1649.2923130599988,,,1689.8390978999996,1714.8381166,1714.8381481600004,1714.8381166,1719.8413249000005,,,,,,1651.4686081,1652.5021789999992,,,007,001,2023-05-31_16h55.52.612,time_exp,2022.2.5,60.134388330946074,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.8413249000005,1719.8413249000005,,,,,,,
