pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,8,8,4,923.6477790999925,923.6477790999925,923.6477790999925,0.5902777777777779,4.066918099997565,space,8.88715940003749,,,,,921.6145827999571,921.6145565299782,922.6312210999895,,,932.5645971000195,957.5484429999487,957.548461429961,957.5650958999759,962.5485491999425,,,,,922.6312210999895,923.6477790999925,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,9,9,6,968.581525699934,968.581525699934,968.581525699934,3.8657407407407414,9.367048699990846,space,10.27214739995543,,,,,962.5485491999425,962.5484790299786,963.5652414999204,,,978.8816557999235,1003.8658895000117,1003.8655254300218,1003.8825427999254,1008.8659434999572,,,,,963.5652414999204,968.581525699934,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,10,10,14,1014.8989093999844,1014.8989093999844,1014.8989093999844,3.2870370370370368,3.750286899972707,space,10.707565500051714,,,,,1008.8659434999572,1008.8659358300035,1009.882595699979,,,1025.6324224999407,1050.6161573999561,1050.616132529988,1050.6328186999308,1055.6163695999421,,,,,1009.882595699979,1014.8989093999844,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,11,11,10,1061.649655599962,1061.649655599962,1061.649655599962,4.664351851851852,3.8169037000043318,space,14.180250100092962,,,,,1055.6163695999421,1055.6163372299168,1056.6330420000013,,,1075.8498727999395,1100.8336158000166,1100.833601830015,1100.8502865999471,1105.8338324999204,,,,,1056.6330420000013,1061.649655599962,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,12,12,8,1107.8673760999227,1107.8673760999227,1107.8673760999227,0.9953703703703707,4.266896799905226,space,23.387157000019215,,,,,1105.8338324999204,1105.8338124299887,1106.850901799975,,,1131.284409899963,1156.2682926999405,1156.2682408299995,1156.284954899922,1161.268372499966,,,,,1106.850901799975,1107.8673760999227,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,13,13,9,1165.3013177999528,1165.3013177999528,1165.3013177999528,2.3495370370370368,4.100233200006187,space,32.36874370009173,,,,,1161.268372499966,1161.2683209300274,1162.2850562999956,,,1197.701814699918,1222.6860061999178,1222.685986129986,1222.7026733999373,1227.6860685999272,,,,,1162.2850562999956,1165.3013177999528,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,14,14,17,1231.7190084999893,1231.7190084999893,1231.7190084999893,2.372685185185185,3.333541900035925,space,9.071612700005062,,,,,1227.6860685999272,1227.6860697299242,1228.7027750000125,,,1240.8191407999257,1265.8033480999293,1265.8033426299924,1265.820019899984,1270.8034314999823,,,,,1228.7027750000125,1231.7190084999893,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,15,15,0,1272.8363432999467,1272.8363432999467,1272.8363432999467,0.4398148148148151,2.800201900070533,space,7.649557999917306,,,,,1270.8034314999823,1270.8034145299578,1271.820120899938,,,1280.503132599988,1305.4868569999235,1305.4868562300223,1305.5035248999484,1310.4869476999156,,,,,1271.820120899938,1272.8363432999467,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,16,16,16,1312.5204304999206,1312.5204304999206,1312.5204304999206,1.030092592592593,2.4003685999196023,space,7.743010999984108,,,,,1310.4869476999156,1310.486936629936,1311.503624600009,,,1320.3041885999264,1345.3046147000277,1345.3045945299789,1345.3046147000277,1350.3046943999361,,,,,1311.503624600009,1312.5204304999206,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,17,17,19,1358.3377007999225,1358.3377007999225,1358.3377007999225,5.266203703703704,3.3501679999753833,space,9.765094699920155,,,,,1350.3046943999361,1350.304651229945,1351.3213697000174,,,1368.1383102999534,1393.1220167999854,1393.1220171299763,1393.138712199987,1398.1220978000201,,,,,1351.3213697000174,1358.3377007999225,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,18,18,7,1406.1554183999542,1406.1554183999542,1406.1554183999542,6.087962962962964,3.4670044999802485,space,21.323108300101012,,,,,1398.1220978000201,1398.1220976300071,1399.138765099924,,,1427.5059246999444,1452.4896404999308,1452.4896156299626,1452.5062986999983,1457.4897122000111,,,,,1399.138765099924,1406.1554183999542,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,19,19,13,1461.5226338999346,1461.5226338999346,1461.5226338999346,2.2800925925925926,4.083616399904713,space,9.043725900002755,,,,,1457.4897122000111,1457.4897220299579,1458.5064054999966,,,1470.6065835999325,1495.590302699944,1495.590295129991,1495.6069750000024,1500.590388600016,,,,,1458.5064054999966,1461.5226338999346,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.590388600016,1500.590388600016,,,,,,,
