pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,5,5,13,930.4843633000273,930.4843633000273,930.4843633000273,5.05787037037037,3.466914699994959,space,15.223121599992737,,,,,926.4514310000231,926.4514250899665,927.4680680000456,,,945.7345733999973,970.7187933999812,970.718793589971,970.7354377000593,975.7188751000213,,,,,927.4680680000456,930.4843633000273,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,6,6,1,979.7684594000457,979.7684594000457,979.7684594000457,5.05787037037037,1.7836725000524893,space,13.8120052999584,,,,,975.7188751000213,975.7188730899943,976.7522337000119,,,993.6020361999981,1018.5862371000694,1018.586240989971,1018.602910400019,1023.5863227000227,,,,,976.7522337000119,979.7684594000457,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,7,7,6,1029.6193042000523,1029.6193042000523,1029.6193042000523,7.013888888888889,5.516980299958959,space,17.43280109995976,,,,,1023.5863227000227,1023.5863186899805,1024.6030134999892,,,1047.0695910999784,1072.0537876000162,1072.0537861899938,1072.0704576000571,1077.0538726999657,,,,,1024.6030134999892,1029.6193042000523,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,8,8,7,1085.0871462000068,1085.0871462000068,1085.0871462000068,10.05787037037037,6.366897900006734,space,17.820675200084224,,,,,1077.0538726999657,1077.0538500900147,1078.0705133000156,,,1102.9374290000414,1127.9213546999963,1127.921342490008,1127.9380024999846,1132.9214245000621,,,,,1078.0705133000156,1085.0871462000068,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,9,9,17,1136.954387200065,1136.954387200065,1136.954387200065,5.416666666666667,3.3835988000500947,space,12.32179429999087,,,,,1132.9214245000621,1132.9214269900694,1133.938042600057,,,1149.3045886000618,1174.28842170001,1174.288428590051,1174.3050929000601,1179.2888372000307,,,,,1133.938042600057,1136.954387200065,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,10,10,19,1187.338504299987,1187.338504299987,1187.338504299987,9.49074074074074,4.083613599999808,space,14.273555299965665,,,,,1179.2888372000307,1179.2888261900516,1180.3221845000517,,,1201.638730400009,1226.62260100001,1226.622570489999,1226.6392286999617,1231.6229973000009,,,,,1180.3221845000517,1187.338504299987,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,11,11,9,1235.6559637000319,1235.6559637000319,1235.6559637000319,3.4375000000000004,3.3335265000350773,space,21.9236791000003,,,,,1231.6229973000009,1231.6229955899762,1232.6396850000601,,,1257.6062944000587,1282.5904876000714,1282.5904851900414,1282.6071256999858,1287.5905680999858,,,,,1232.6396850000601,1235.6559637000319,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,12,12,8,1289.6237842000555,1289.6237842000555,1289.6237842000555,1.354166666666667,3.400260799913667,space,23.173517300048843,,,,,1287.5905680999858,1287.5905746900244,1288.6072237000335,,,1312.8407940999605,1337.8247011000058,1337.8246675899718,1337.841370500042,1342.8247799000237,,,,,1288.6072237000335,1289.6237842000555,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,13,13,15,1350.8577925000573,1350.8577925000573,1350.8577925000573,11.481481481481483,3.6669309000717476,space,8.786095299990848,,,,,1342.8247799000237,1342.8247553900583,1343.8414305000333,,,1359.6745929999743,1384.658770799986,1384.6587748900056,1384.675441600033,1389.6588522000238,,,,,1343.8414305000333,1350.8577925000573,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,14,14,12,1391.7084372000536,1391.7084372000536,1391.7084372000536,0.7060185185185184,5.73362630000338,space,12.623182200011797,,,,,1389.6588522000238,1389.6588550900342,1390.6922099000076,,,1404.3586303000338,1429.3423608000157,1429.3423669900512,1429.3590342999669,1434.342452300014,,,,,1390.6922099000076,1391.7084372000536,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,15,15,16,1436.375820999965,1436.375820999965,1436.375820999965,0.4976851851851849,5.9507630000589415,space,14.564910899964161,,,,,1434.342452300014,1434.3424484899733,1435.359140100074,,,1450.9765145999845,1475.9602374000242,1475.960229390068,1475.9768982999958,1480.9603089999873,,,,,1435.359140100074,1436.375820999965,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,16,16,2,1486.9932799000526,1486.9932799000526,1486.9932799000526,6.770833333333333,5.267421199940145,space,10.763393300003372,,,,,1480.9603089999873,1480.96031219,1481.9769615000114,,,1497.7772044000449,1522.7609673000406,1522.7609656900167,1522.7775986000197,1527.761050799978,,,,,1481.9769615000114,1486.9932799000526,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,17,17,18,1533.8106881000567,1533.8106881000567,1533.8106881000567,7.638888888888889,3.4168421999784186,space,7.817866299999878,,,,,1527.761050799978,1527.76104649005,1528.7944020000286,,,1541.6775855000596,1566.661649900023,1566.6616556900553,1566.6782992000226,1571.66173469997,,,,,1528.7944020000286,1533.8106881000567,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,18,18,10,1577.7113752000732,1577.7113752000732,1577.7113752000732,7.5925925925925934,3.366914900019765,space,20.140443500014953,,,,,1571.66173469997,1571.66174279002,1572.6950835000025,,,1597.895468599978,1622.879157999996,1622.8791928900173,1622.8958706000121,1627.879285800038,,,,,1572.6950835000025,1577.7113752000732,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,,,,,,,,,,,1629.9121864000335,1629.9121864000335,1629.9121864000335,0.7870370370370355,3.800338000059128,space,8.899477900005877,,,,,1627.879285800038,1627.8792864900315,1628.8959649000317,,,1638.828964299988,,,,,,,,,1628.8959649000317,1629.9121864000335,,,,,,,
