trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,emo_pic,duration,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,emopic.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,14.543382600008044,14.543382600008044,space,0.952962600014871,,,,000,001,2023-05-01_17h42.08.610,time_sound,2022.2.5,60.09149531139227,
,,,,,,,,,,15.548074200021802,15.552241969996247,16.608039400016423,,,,,,,
